ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio,Comments
S96-A66,UCM5C1W48,Unknown,1,IL10,Test,999,0,Fail,0.019540599,999,999,0,
S96-A65,UCM5C1W48,Unknown,1,IFI44,Test,999,0,Fail,0.019540599,999,999,0,
S96-A64,UCM5C1W48,Unknown,1,FYN,Test,999,0,Fail,0.019540599,999,999,0,
S96-A63,UCM5C1W48,Unknown,1,CD8A,Test,999,0,Fail,0.019540599,999,999,0,
S96-A62,UCM5C1W48,Unknown,1,CD274,Test,999,0,Fail,0.019540599,999,999,0,
S96-A61,UCM5C1W48,Unknown,1,C5,Test,999,0,Fail,0.019540599,999,999,0,
S96-A72,UCM5C1W48,Unknown,1,VAV1,Test,999,0,Fail,0.019540599,999,999,0,
S96-A71,UCM5C1W48,Unknown,1,TBX21,Test,999,0,Fail,0.019540599,999,999,0,
S96-A70,UCM5C1W48,Unknown,1,RAC2,Test,22.33972312,0,Fail,0.019540599,999,76.39483943,0,
S96-A69,UCM5C1W48,Unknown,1,NLRP3,Test,999,0,Fail,0.019540599,999,999,0,
S96-A68,UCM5C1W48,Unknown,1,IRF4,Test,999,0,Fail,0.019540599,999,999,0,
S96-A67,UCM5C1W48,Unknown,1,IL4,Test,999,0,Fail,0.019540599,999,999,0,
S96-A78,UCM5C1W48,Unknown,1,IL12RB1,Test,999,0,Fail,0.019540599,999,999,0,
S96-A77,UCM5C1W48,Unknown,1,IFI44L,Test,999,0,Fail,0.019540599,999,999,0,
S96-A76,UCM5C1W48,Unknown,1,GAPDH,Test,999,0,Fail,0.019540599,999,999,0,
S96-A75,UCM5C1W48,Unknown,1,CDC42,Test,999,0,Fail,0.019540599,999,999,0,
S96-A74,UCM5C1W48,Unknown,1,CD28,Test,999,0,Fail,0.019540599,999,999,0,
S96-A73,UCM5C1W48,Unknown,1,CCR1,Test,999,0,Fail,0.019540599,999,999,0,
S96-A84,UCM5C1W48,Unknown,1,ZAP70,Test,999,0,Fail,0.019540599,999,999,0,
S96-A83,UCM5C1W48,Unknown,1,TGFBR2,Test,999,0,Fail,0.019540599,999,999,0,
S96-A82,UCM5C1W48,Unknown,1,RORC,Test,999,0,Fail,0.019540599,999,999,0,
S96-A81,UCM5C1W48,Unknown,1,NR4A1,Test,999,0,Fail,0.019540599,999,999,0,
S96-A80,UCM5C1W48,Unknown,1,IRF7,Test,999,0,Fail,0.019540599,999,999,0,
S96-A79,UCM5C1W48,Unknown,1,IL4R,Test,999,0,Fail,0.019540599,999,999,0,
S96-A90,UCM5C1W48,Unknown,1,IL17A,Test,999,0,Fail,0.019540599,999,999,0,
S96-A89,UCM5C1W48,Unknown,1,IFIT1,Test,999,0,Fail,0.019540599,999,999,0,
S96-A88,UCM5C1W48,Unknown,1,GATA3,Test,999,0,Fail,0.019540599,999,999,0,
S96-A87,UCM5C1W48,Unknown,1,CTLA4,Test,999,0,Fail,0.019540599,999,999,0,
S96-A86,UCM5C1W48,Unknown,1,CD3E,Test,999,0,Fail,0.019540599,999,999,0,
S96-A85,UCM5C1W48,Unknown,1,CCR2,Test,999,0,Fail,0.019540599,999,999,0,
S96-A96,UCM5C1W48,Unknown,1,ZEB2,Test,999,0,Fail,0.019540599,999,999,0,
S96-A95,UCM5C1W48,Unknown,1,TNF,Test,999,0,Fail,0.019540599,999,999,0,
S96-A94,UCM5C1W48,Unknown,1,RPL13A,Test,999,0,Fail,0.019540599,999,999,0,
S96-A93,UCM5C1W48,Unknown,1,PDCD1,Test,26.4103491,0,Fail,0.019540599,999,999,0,
S96-A92,UCM5C1W48,Unknown,1,IRF9,Test,999,0,Fail,0.019540599,999,999,0,
S96-A91,UCM5C1W48,Unknown,1,IL5,Test,999,0,Fail,0.019540599,999,999,0,
S06-A01,NBD1C1W41,Unknown,1,AIM2,Test,999,0,Fail,0.019540599,999,999,0,
S06-A02,NBD1C1W41,Unknown,1,CCR3,Test,16.55491034,1,Pass,0.019540599,77.98978641,999,1,
S06-A03,NBD1C1W41,Unknown,1,CD4,Test,999,0,Fail,0.019540599,999,999,0,
S06-A04,NBD1C1W41,Unknown,1,CXCL10,Test,17.8645636,1,Pass,0.019540599,80.31661309,999,1,
S06-A05,NBD1C1W41,Unknown,1,GSK3A,Test,999,0,Fail,0.019540599,999,999,0,
S06-A06,NBD1C1W41,Unknown,1,IFIT3,Test,16.20095294,1,Pass,0.019540599,79.74720662,999,1,
S06-A07,NBD1C1W41,Unknown,1,IL2,Test,999,0,Fail,0.019540599,999,999,0,
S06-A08,NBD1C1W41,Unknown,1,IL5RA,Test,999,0,Fail,0.019540599,999,999,0,
S06-A09,NBD1C1W41,Unknown,1,ISG15,Test,999,0,Fail,0.019540599,999,999,0,
S06-A10,NBD1C1W41,Unknown,1,PPARA,Test,999,0,Fail,0.019540599,999,999,0,
S06-A11,NBD1C1W41,Unknown,1,SOCS3,Test,999,0,Fail,0.019540599,999,999,0,
S06-A12,NBD1C1W41,Unknown,1,TNFAIP3,Test,16.11116159,1,Pass,0.019540599,84.16805582,999,1,
S06-A13,NBD1C1W41,Unknown,1,B2M,Test,11.665931,1,Pass,0.019540599,83.09413728,999,1,
S06-A14,NBD1C1W41,Unknown,1,CCR4,Test,16.06042459,0,Fail,0.019540599,999,76.92857903,0,
S06-A15,NBD1C1W41,Unknown,1,CD40,Test,16.82813069,1,Pass,0.019540599,87.6874163,999,1,
S06-A16,NBD1C1W41,Unknown,1,CXCL9,Test,999,0,Fail,0.019540599,999,999,0,
S06-A17,NBD1C1W41,Unknown,1,GSK3B,Test,17.57982779,1,Pass,0.019540599,81.219426,999,1,
S06-A18,NBD1C1W41,Unknown,1,IFNAR1,Test,18.39150706,1,Pass,0.019540599,77.20055341,999,1,
S06-A19,NBD1C1W41,Unknown,1,IL21,Test,999,0,Fail,0.019540599,999,999,0,
S06-A20,NBD1C1W41,Unknown,1,IL7,Test,999,0,Fail,0.019540599,999,999,0,
S06-A21,NBD1C1W41,Unknown,1,JAK1,Test,16.99268619,1,Pass,0.019540599,82.00279097,999,1,
S06-A22,NBD1C1W41,Unknown,1,PPARG,Test,999,0,Fail,0.019540599,999,999,0,
S06-A23,NBD1C1W41,Unknown,1,STAT1,Test,999,0,Fail,0.019540599,999,999,0,
S06-A24,NBD1C1W41,Unknown,1,TNFRSF1A,Test,999,0,Fail,0.019540599,999,999,0,
S06-A25,NBD1C1W41,Unknown,1,BCL2,Test,17.48033673,1,Pass,0.019540599,85.72271629,999,1,
S06-A26,NBD1C1W41,Unknown,1,CCR5,Test,999,0,Fail,0.019540599,999,999,0,
S06-A27,NBD1C1W41,Unknown,1,CD44,Test,16.93707294,1,Pass,0.019540599,87.2144181,999,1,
S06-A28,NBD1C1W41,Unknown,1,CXCR3,Test,17.91782273,1,Pass,0.019540599,86.34763014,999,1,
S06-A29,NBD1C1W41,Unknown,1,HLA-DRA,Test,999,0,Fail,0.019540599,999,999,0,
S06-A30,NBD1C1W41,Unknown,1,IFNAR2,Test,16.25715809,1,Pass,0.019540599,81.63462798,999,1,
S06-A31,NBD1C1W41,Unknown,1,IL25,Test,16.67611348,1,Pass,0.019540599,84.78067544,999,1,
S06-A32,NBD1C1W41,Unknown,1,IL7R,Test,12.59822294,1,Pass,0.019540599,80.8873301,999,1,
S06-A33,NBD1C1W41,Unknown,1,JAK2,Test,17.63197968,1,Pass,0.019540599,78.35087535,999,1,
S06-A34,NBD1C1W41,Unknown,1,PPARGC1A,Test,999,0,Fail,0.019540599,999,999,0,
S06-A35,NBD1C1W41,Unknown,1,STAT3,Test,999,0,Fail,0.019540599,999,999,0,
S06-A36,NBD1C1W41,Unknown,1,TNFRSF1B,Test,23.06034666,1,Pass,0.019540599,85.89640828,999,1,
S06-A37,NBD1C1W41,Unknown,1,BCL6,Test,16.28139255,1,Pass,0.019540599,81.91763345,999,1,
S06-A38,NBD1C1W41,Unknown,1,CCR6,Test,17.227852,1,Pass,0.019540599,84.74730641,999,1,
S06-A39,NBD1C1W41,Unknown,1,CD52,Test,15.17079424,1,Pass,0.019540599,79.60965097,999,1,
S06-A40,NBD1C1W41,Unknown,1,CXCR4,Test,13.11655317,1,Pass,0.019540599,82.10134506,999,1,
S06-A41,NBD1C1W41,Unknown,1,ICAM1,Test,18.14190654,1,Pass,0.019540599,86.54085877,999,1,
S06-A42,NBD1C1W41,Unknown,1,IFNG,Test,999,0,Fail,0.019540599,999,999,0,
S06-A43,NBD1C1W41,Unknown,1,IL2RA,Test,999,0,Fail,0.019540599,999,999,0,
S06-A44,NBD1C1W41,Unknown,1,IRF1,Test,999,0,Fail,0.019540599,999,999,0,
S06-A45,NBD1C1W41,Unknown,1,LY6E,Test,15.88508486,1,Pass,0.019540599,84.61396668,999,1,
S06-A46,NBD1C1W41,Unknown,1,PTEN,Test,17.60682298,1,Pass,0.019540599,79.37654326,999,1,
S06-A47,NBD1C1W41,Unknown,1,STAT4,Test,17.96076273,1,Pass,0.019540599,80.28953358,999,1,
S06-A48,NBD1C1W41,Unknown,1,TRAF2,Test,999,0,Fail,0.019540599,999,999,0,
S06-A54,NBD1C1W41,Unknown,1,IFNGR1,Test,999,0,Fail,0.019540599,999,999,0,
S06-A53,NBD1C1W41,Unknown,1,ICOS,Test,999,0,Fail,0.019540599,999,999,0,
S06-A52,NBD1C1W41,Unknown,1,FOXP3,Test,999,0,Fail,0.019540599,999,999,0,
S06-A51,NBD1C1W41,Unknown,1,CD53,Test,14.87324689,1,Pass,0.019540599,81.09551854,999,1,
S06-A50,NBD1C1W41,Unknown,1,CCR7,Test,16.63714136,1,Pass,0.019540599,81.68652821,999,1,
S06-A49,NBD1C1W41,Unknown,1,C3,Test,999,0,Fail,0.019540599,999,999,0,
S06-A60,NBD1C1W41,Unknown,1,TYK2,Test,17.34857329,1,Pass,0.019540599,85.13036777,999,1,
S06-A59,NBD1C1W41,Unknown,1,STAT5B,Test,18.10895826,0,Fail,0.019540599,999,83.92623877,0,
S06-A58,NBD1C1W41,Unknown,1,RAC1,Test,17.41620345,1,Pass,0.019540599,81.32114424,999,1,
S06-A57,NBD1C1W41,Unknown,1,NFKB1,Test,999,0,Fail,0.019540599,999,999,0,
S06-A56,NBD1C1W41,Unknown,1,IRF2,Test,999,0,Fail,0.019540599,999,999,0,
S06-A55,NBD1C1W41,Unknown,1,IL3,Test,999,0,Fail,0.019540599,999,999,0,
S06-A66,NBD1C1W41,Unknown,1,IL10,Test,999,0,Fail,0.019540599,999,999,0,
S06-A65,NBD1C1W41,Unknown,1,IFI44,Test,17.03307061,1,Pass,0.019540599,79.59258817,999,1,
S06-A64,NBD1C1W41,Unknown,1,FYN,Test,16.19890586,1,Pass,0.019540599,77.7033052,999,1,
S06-A63,NBD1C1W41,Unknown,1,CD8A,Test,22.3694398,1,Pass,0.019540599,91.21495477,999,1,
S06-A62,NBD1C1W41,Unknown,1,CD274,Test,999,0,Fail,0.019540599,999,999,0,
S06-A61,NBD1C1W41,Unknown,1,C5,Test,999,0,Fail,0.019540599,999,999,0,
S06-A72,NBD1C1W41,Unknown,1,VAV1,Test,999,0,Fail,0.019540599,999,999,0,
S06-A71,NBD1C1W41,Unknown,1,TBX21,Test,999,0,Fail,0.019540599,999,999,0,
S06-A70,NBD1C1W41,Unknown,1,RAC2,Test,15.38623193,1,Pass,0.019540599,82.24244712,999,1,
S06-A69,NBD1C1W41,Unknown,1,NLRP3,Test,23.13828914,0.981010111,Pass,0.019540599,83.85780241,999,1,
S06-A68,NBD1C1W41,Unknown,1,IRF4,Test,999,0,Fail,0.019540599,999,999,0,
S06-A67,NBD1C1W41,Unknown,1,IL4,Test,999,0,Fail,0.019540599,999,999,0,
S06-A78,NBD1C1W41,Unknown,1,IL12RB1,Test,999,0,Fail,0.019540599,999,999,0,
S06-A77,NBD1C1W41,Unknown,1,IFI44L,Test,23.6061274,0,Fail,0.019540599,999,82.26177629,0,
S06-A76,NBD1C1W41,Unknown,1,GAPDH,Test,13.88028696,1,Pass,0.019540599,81.76543604,999,1,
S06-A75,NBD1C1W41,Unknown,1,CDC42,Test,13.94890899,1,Pass,0.019540599,78.36506557,999,1,
S06-A74,NBD1C1W41,Unknown,1,CD28,Test,17.76645427,1,Pass,0.019540599,80.25278736,999,1,
S06-A73,NBD1C1W41,Unknown,1,CCR1,Test,999,0,Fail,0.019540599,999,999,0,
S06-A84,NBD1C1W41,Unknown,1,ZAP70,Test,16.39591727,1,Pass,0.019540599,84.89642878,999,1,
S06-A83,NBD1C1W41,Unknown,1,TGFBR2,Test,18.63697249,1,Pass,0.019540599,80.89803042,999,1,
S06-A82,NBD1C1W41,Unknown,1,RORC,Test,18.81245222,1,Pass,0.019540599,84.99554551,999,1,
S06-A81,NBD1C1W41,Unknown,1,NR4A1,Test,24.31110871,0.854484553,Pass,0.019540599,91.0791662,999,1,
