ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio,Comments
S96-A01,Empty2,Unknown,1,AIM2,Test,999,0,Fail,0.019295128,999,999,0,
S96-A02,Empty2,Unknown,1,CCR3,Test,999,0,Fail,0.019295128,999,999,0,
S96-A03,Empty2,Unknown,1,CD4,Test,999,0,Fail,0.019295128,999,999,0,
S96-A04,Empty2,Unknown,1,CXCL10,Test,999,0,Fail,0.019295128,999,999,0,
S96-A05,Empty2,Unknown,1,GSK3A,Test,999,0,Fail,0.019295128,999,999,0,
S96-A06,Empty2,Unknown,1,IFIT3,Test,999,0,Fail,0.019295128,999,999,0,
S96-A07,Empty2,Unknown,1,IL2,Test,999,0,Fail,0.019295128,999,999,0,
S96-A08,Empty2,Unknown,1,IL5RA,Test,999,0,Fail,0.019295128,999,999,0,
S96-A09,Empty2,Unknown,1,ISG15,Test,999,0,Fail,0.019295128,999,999,0,
S96-A10,Empty2,Unknown,1,PPARA,Test,999,0,Fail,0.019295128,999,999,0,
S96-A11,Empty2,Unknown,1,SOCS3,Test,999,0,Fail,0.019295128,999,999,0,
S96-A12,Empty2,Unknown,1,TNFAIP3,Test,999,0,Fail,0.019295128,999,999,0,
S96-A13,Empty2,Unknown,1,B2M,Test,999,0,Fail,0.019295128,999,999,0,
S96-A14,Empty2,Unknown,1,CCR4,Test,15.52692598,0,Fail,0.019295128,999,76.89779369,0,
S96-A15,Empty2,Unknown,1,CD40,Test,999,0,Fail,0.019295128,999,999,0,
S96-A16,Empty2,Unknown,1,CXCL9,Test,999,0,Fail,0.019295128,999,999,0,
S96-A17,Empty2,Unknown,1,GSK3B,Test,999,0,Fail,0.019295128,999,999,0,
S96-A18,Empty2,Unknown,1,IFNAR1,Test,999,0,Fail,0.019295128,999,999,0,
S96-A19,Empty2,Unknown,1,IL21,Test,999,0,Fail,0.019295128,999,999,0,
S96-A20,Empty2,Unknown,1,IL7,Test,999,0,Fail,0.019295128,999,999,0,
S96-A21,Empty2,Unknown,1,JAK1,Test,999,0,Fail,0.019295128,999,999,0,
S96-A22,Empty2,Unknown,1,PPARG,Test,999,0,Fail,0.019295128,999,999,0,
S96-A23,Empty2,Unknown,1,STAT1,Test,999,0,Fail,0.019295128,999,999,0,
