ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio,Comments
S96-A64,EMPTY5,Unknown,1,FYN,Test,999,0,Fail,0.020641289,999,999,0,
S96-A63,EMPTY5,Unknown,1,CD8A,Test,22.96246595,1,Pass,0.020641289,91.20205619,999,1,
S96-A62,EMPTY5,Unknown,1,CD274,Test,999,0,Fail,0.020641289,999,999,0,
S96-A61,EMPTY5,Unknown,1,C5,Test,999,0,Fail,0.020641289,999,999,0,
S96-A72,EMPTY5,Unknown,1,VAV1,Test,999,0,Fail,0.020641289,999,999,0,
S96-A71,EMPTY5,Unknown,1,TBX21,Test,999,0,Fail,0.020641289,999,999,0,
S96-A70,EMPTY5,Unknown,1,RAC2,Test,24.07091677,0,Fail,0.020641289,999,76.00282682,0,
S96-A69,EMPTY5,Unknown,1,NLRP3,Test,999,0,Fail,0.020641289,999,999,0,
S96-A68,EMPTY5,Unknown,1,IRF4,Test,999,0,Fail,0.020641289,999,999,0,
S96-A67,EMPTY5,Unknown,1,IL4,Test,999,0,Fail,0.020641289,999,999,0,
S96-A78,EMPTY5,Unknown,1,IL12RB1,Test,999,0,Fail,0.020641289,999,999,0,
S96-A77,EMPTY5,Unknown,1,IFI44L,Test,999,0,Fail,0.020641289,999,999,0,
S96-A76,EMPTY5,Unknown,1,GAPDH,Test,999,0,Fail,0.020641289,999,999,0,
S96-A75,EMPTY5,Unknown,1,CDC42,Test,999,0,Fail,0.020641289,999,999,0,
S96-A74,EMPTY5,Unknown,1,CD28,Test,19.50761977,1,Pass,0.020641289,80.18235028,999,1,
S96-A73,EMPTY5,Unknown,1,CCR1,Test,999,0,Fail,0.020641289,999,999,0,
S96-A84,EMPTY5,Unknown,1,ZAP70,Test,999,0,Fail,0.020641289,999,999,0,
S96-A83,EMPTY5,Unknown,1,TGFBR2,Test,999,0,Fail,0.020641289,999,999,0,
S96-A82,EMPTY5,Unknown,1,RORC,Test,999,0,Fail,0.020641289,999,999,0,
S96-A81,EMPTY5,Unknown,1,NR4A1,Test,999,0,Fail,0.020641289,999,999,0,
S96-A80,EMPTY5,Unknown,1,IRF7,Test,999,0,Fail,0.020641289,999,999,0,
S96-A79,EMPTY5,Unknown,1,IL4R,Test,999,0,Fail,0.020641289,999,999,0,
S96-A90,EMPTY5,Unknown,1,IL17A,Test,999,0,Fail,0.020641289,999,999,0,
S96-A89,EMPTY5,Unknown,1,IFIT1,Test,999,0,Fail,0.020641289,999,999,0,
S96-A88,EMPTY5,Unknown,1,GATA3,Test,999,0,Fail,0.020641289,999,999,0,
S96-A87,EMPTY5,Unknown,1,CTLA4,Test,999,0,Fail,0.020641289,999,999,0,
S96-A86,EMPTY5,Unknown,1,CD3E,Test,999,0,Fail,0.020641289,999,999,0,
S96-A85,EMPTY5,Unknown,1,CCR2,Test,999,0,Fail,0.020641289,999,999,0,
S96-A96,EMPTY5,Unknown,1,ZEB2,Test,999,0,Fail,0.020641289,999,999,0,
S96-A95,EMPTY5,Unknown,1,TNF,Test,999,0,Fail,0.020641289,999,999,0,
S96-A94,EMPTY5,Unknown,1,RPL13A,Test,999,0,Fail,0.020641289,999,999,0,
S96-A93,EMPTY5,Unknown,1,PDCD1,Test,28.05933795,0,Fail,0.020641289,999,999,0,
S96-A92,EMPTY5,Unknown,1,IRF9,Test,999,0,Fail,0.020641289,999,999,0,
S96-A91,EMPTY5,Unknown,1,IL5,Test,999,0,Fail,0.020641289,999,999,0,
S06-A01,InflMAIT1,Unknown,1,AIM2,Test,999,0,Fail,0.020641289,999,999,0,
S06-A02,InflMAIT1,Unknown,1,CCR3,Test,16.87818319,1,Pass,0.020641289,77.80973475,999,1,
S06-A03,InflMAIT1,Unknown,1,CD4,Test,999,0,Fail,0.020641289,999,999,0,
S06-A04,InflMAIT1,Unknown,1,CXCL10,Test,999,0,Fail,0.020641289,999,999,0,
S06-A05,InflMAIT1,Unknown,1,GSK3A,Test,999,0,Fail,0.020641289,999,999,0,
S06-A06,InflMAIT1,Unknown,1,IFIT3,Test,20.62040947,1,Pass,0.020641289,79.28829499,999,1,
S06-A07,InflMAIT1,Unknown,1,IL2,Test,999,0,Fail,0.020641289,999,999,0,
S06-A08,InflMAIT1,Unknown,1,IL5RA,Test,999,0,Fail,0.020641289,999,999,0,
S06-A09,InflMAIT1,Unknown,1,ISG15,Test,999,0,Fail,0.020641289,999,999,0,
S06-A10,InflMAIT1,Unknown,1,PPARA,Test,999,0,Fail,0.020641289,999,999,0,
S06-A11,InflMAIT1,Unknown,1,SOCS3,Test,15.55507411,0,Fail,0.020641289,999,999,0,
S06-A12,InflMAIT1,Unknown,1,TNFAIP3,Test,9.534734438,1,Pass,0.020641289,84.00690418,999,1,
S06-A13,InflMAIT1,Unknown,1,B2M,Test,9.475302464,1,Pass,0.020641289,82.74528031,999,1,
S06-A14,InflMAIT1,Unknown,1,CCR4,Test,14.58689893,0,Fail,0.020641289,999,76.27855551,0,
S06-A15,InflMAIT1,Unknown,1,CD40,Test,16.10329146,1,Pass,0.020641289,87.18856611,999,1,
S06-A16,InflMAIT1,Unknown,1,CXCL9,Test,999,0,Fail,0.020641289,999,999,0,
S06-A17,InflMAIT1,Unknown,1,GSK3B,Test,999,0,Fail,0.020641289,999,999,0,
S06-A18,InflMAIT1,Unknown,1,IFNAR1,Test,999,0,Fail,0.020641289,999,999,0,
S06-A19,InflMAIT1,Unknown,1,IL21,Test,999,0,Fail,0.020641289,999,999,0,
S06-A20,InflMAIT1,Unknown,1,IL7,Test,999,0,Fail,0.020641289,999,999,0,
S06-A21,InflMAIT1,Unknown,1,JAK1,Test,13.60293716,1,Pass,0.020641289,81.76247026,999,1,
S06-A22,InflMAIT1,Unknown,1,PPARG,Test,999,0,Fail,0.020641289,999,999,0,
S06-A23,InflMAIT1,Unknown,1,STAT1,Test,14.56216244,0,Fail,0.020641289,999,999,0,
