ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio,Comments
S96-A01,EMPTY6,Unknown,1,AIM2,Test,999,0,Fail,0.02129333,999,999,0,
S96-A02,EMPTY6,Unknown,1,CCR3,Test,999,0,Fail,0.02129333,999,999,0,
S96-A03,EMPTY6,Unknown,1,CD4,Test,999,0,Fail,0.02129333,999,999,0,
S96-A04,EMPTY6,Unknown,1,CXCL10,Test,999,0,Fail,0.02129333,999,999,0,
S96-A05,EMPTY6,Unknown,1,GSK3A,Test,999,0,Fail,0.02129333,999,999,0,
S96-A06,EMPTY6,Unknown,1,IFIT3,Test,999,0,Fail,0.02129333,999,999,0,
S96-A07,EMPTY6,Unknown,1,IL2,Test,999,0,Fail,0.02129333,999,999,0,
S96-A08,EMPTY6,Unknown,1,IL5RA,Test,999,0,Fail,0.02129333,999,999,0,
S96-A09,EMPTY6,Unknown,1,ISG15,Test,999,0,Fail,0.02129333,999,999,0,
S96-A10,EMPTY6,Unknown,1,PPARA,Test,999,0,Fail,0.02129333,999,999,0,
S96-A11,EMPTY6,Unknown,1,SOCS3,Test,999,0,Fail,0.02129333,999,999,0,
S96-A12,EMPTY6,Unknown,1,TNFAIP3,Test,999,0,Fail,0.02129333,999,999,0,
S96-A13,EMPTY6,Unknown,1,B2M,Test,23.73421131,1,Pass,0.02129333,82.96444948,999,1,
S96-A14,EMPTY6,Unknown,1,CCR4,Test,14.99676599,0,Fail,0.02129333,999,76.74665455,0,
S96-A15,EMPTY6,Unknown,1,CD40,Test,999,0,Fail,0.02129333,999,999,0,
S96-A16,EMPTY6,Unknown,1,CXCL9,Test,999,0,Fail,0.02129333,999,999,0,
S96-A17,EMPTY6,Unknown,1,GSK3B,Test,999,0,Fail,0.02129333,999,999,0,
S96-A18,EMPTY6,Unknown,1,IFNAR1,Test,999,0,Fail,0.02129333,999,999,0,
S96-A19,EMPTY6,Unknown,1,IL21,Test,999,0,Fail,0.02129333,999,999,0,
S96-A20,EMPTY6,Unknown,1,IL7,Test,999,0,Fail,0.02129333,999,999,0,
S96-A21,EMPTY6,Unknown,1,JAK1,Test,999,0,Fail,0.02129333,999,999,0,
