ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio,Comments
S96-A01,Empty30,Unknown,1,AIM2,Test,999,0,Fail,0.01911395,999,999,0,
S96-A02,Empty30,Unknown,1,CCR3,Test,999,0,Fail,0.01911395,999,999,0,
S96-A03,Empty30,Unknown,1,CD4,Test,999,0,Fail,0.01911395,999,999,0,
S96-A04,Empty30,Unknown,1,CXCL10,Test,999,0,Fail,0.01911395,999,999,0,
S96-A05,Empty30,Unknown,1,GSK3A,Test,999,0,Fail,0.01911395,999,999,0,
S96-A06,Empty30,Unknown,1,IFIT3,Test,999,0,Fail,0.01911395,999,999,0,
S96-A07,Empty30,Unknown,1,IL2,Test,24.8175667,0,Fail,0.01911395,999,73.62296157,0,
S96-A08,Empty30,Unknown,1,IL5RA,Test,999,0,Fail,0.01911395,999,999,0,
S96-A09,Empty30,Unknown,1,ISG15,Test,999,0,Fail,0.01911395,999,999,0,
S96-A10,Empty30,Unknown,1,PPARA,Test,999,0,Fail,0.01911395,999,999,0,
S96-A11,Empty30,Unknown,1,SOCS3,Test,999,0,Fail,0.01911395,999,999,0,
S96-A12,Empty30,Unknown,1,TNFAIP3,Test,999,0,Fail,0.01911395,999,999,0,
S96-A13,Empty30,Unknown,1,B2M,Test,999,0,Fail,0.01911395,999,999,0,
S96-A14,Empty30,Unknown,1,CCR4,Test,14.13660201,0,Fail,0.01911395,999,76.88484448,0,
S96-A15,Empty30,Unknown,1,CD40,Test,999,0,Fail,0.01911395,999,999,0,
S96-A16,Empty30,Unknown,1,CXCL9,Test,999,0,Fail,0.01911395,999,999,0,
S96-A17,Empty30,Unknown,1,GSK3B,Test,999,0,Fail,0.01911395,999,999,0,
S96-A18,Empty30,Unknown,1,IFNAR1,Test,999,0,Fail,0.01911395,999,999,0,
S96-A19,Empty30,Unknown,1,IL21,Test,999,0,Fail,0.01911395,999,999,0,
S96-A20,Empty30,Unknown,1,IL7,Test,999,0,Fail,0.01911395,999,999,0,
S96-A21,Empty30,Unknown,1,JAK1,Test,999,0,Fail,0.01911395,999,999,0,
S96-A22,Empty30,Unknown,1,PPARG,Test,999,0,Fail,0.01911395,999,999,0,
S96-A23,Empty30,Unknown,1,STAT1,Test,999,0,Fail,0.01911395,999,999,0,
S96-A24,Empty30,Unknown,1,TNFRSF1A,Test,999,0,Fail,0.01911395,999,999,0,
S96-A25,Empty30,Unknown,1,BCL2,Test,999,0,Fail,0.01911395,999,999,0,
S96-A26,Empty30,Unknown,1,CCR5,Test,999,0,Fail,0.01911395,999,999,0,
S96-A27,Empty30,Unknown,1,CD44,Test,999,0,Fail,0.01911395,999,999,0,
S96-A28,Empty30,Unknown,1,CXCR3,Test,999,0,Fail,0.01911395,999,999,0,
S96-A29,Empty30,Unknown,1,HLA-DRA,Test,999,0,Fail,0.01911395,999,999,0,
S96-A30,Empty30,Unknown,1,IFNAR2,Test,999,0,Fail,0.01911395,999,999,0,
S96-A31,Empty30,Unknown,1,IL25,Test,999,0,Fail,0.01911395,999,999,0,
S96-A32,Empty30,Unknown,1,IL7R,Test,999,0,Fail,0.01911395,999,999,0,
S96-A33,Empty30,Unknown,1,JAK2,Test,999,0,Fail,0.01911395,999,999,0,
S96-A34,Empty30,Unknown,1,PPARGC1A,Test,999,0,Fail,0.01911395,999,999,0,
S96-A35,Empty30,Unknown,1,STAT3,Test,999,0,Fail,0.01911395,999,999,0,
S96-A36,Empty30,Unknown,1,TNFRSF1B,Test,21.04315569,0,Fail,0.01911395,999,71.73673567,0,
S96-A37,Empty30,Unknown,1,BCL6,Test,999,0,Fail,0.01911395,999,999,0,
S96-A38,Empty30,Unknown,1,CCR6,Test,999,0,Fail,0.01911395,999,999,0,
S96-A39,Empty30,Unknown,1,CD52,Test,999,0,Fail,0.01911395,999,999,0,
S96-A40,Empty30,Unknown,1,CXCR4,Test,999,0,Fail,0.01911395,999,999,0,
S96-A41,Empty30,Unknown,1,ICAM1,Test,999,0,Fail,0.01911395,999,999,0,
S96-A42,Empty30,Unknown,1,IFNG,Test,16.25749427,1,Pass,0.01911395,76.99219302,999,1,
S96-A43,Empty30,Unknown,1,IL2RA,Test,999,0,Fail,0.01911395,999,999,0,
S96-A44,Empty30,Unknown,1,IRF1,Test,999,0,Fail,0.01911395,999,999,0,
S96-A45,Empty30,Unknown,1,LY6E,Test,999,0,Fail,0.01911395,999,999,0,
S96-A46,Empty30,Unknown,1,PTEN,Test,999,0,Fail,0.01911395,999,999,0,
S96-A47,Empty30,Unknown,1,STAT4,Test,999,0,Fail,0.01911395,999,999,0,
S96-A48,Empty30,Unknown,1,TRAF2,Test,999,0,Fail,0.01911395,999,999,0,
S96-A54,Empty30,Unknown,1,IFNGR1,Test,25.65027647,0,Fail,0.01911395,999,77.96654426,0,
S96-A53,Empty30,Unknown,1,ICOS,Test,999,0,Fail,0.01911395,999,999,0,
S96-A52,Empty30,Unknown,1,FOXP3,Test,999,0,Fail,0.01911395,999,999,0,
S96-A51,Empty30,Unknown,1,CD53,Test,999,0,Fail,0.01911395,999,999,0,
S96-A50,Empty30,Unknown,1,CCR7,Test,999,0,Fail,0.01911395,999,999,0,
S96-A49,Empty30,Unknown,1,C3,Test,999,0,Fail,0.01911395,999,999,0,
S96-A60,Empty30,Unknown,1,TYK2,Test,21.93879045,0,Fail,0.01911395,999,79.59803386,0,
S96-A59,Empty30,Unknown,1,STAT5B,Test,999,0,Fail,0.01911395,999,999,0,
S96-A58,Empty30,Unknown,1,RAC1,Test,999,0,Fail,0.01911395,999,999,0,
S96-A57,Empty30,Unknown,1,NFKB1,Test,999,0,Fail,0.01911395,999,999,0,
S96-A56,Empty30,Unknown,1,IRF2,Test,999,0,Fail,0.01911395,999,999,0,
S96-A55,Empty30,Unknown,1,IL3,Test,999,0,Fail,0.01911395,999,999,0,
