ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio,Comments
S96-A60,UCM17 Blood 5,Unknown,1,TYK2,Test,17.7521864,0,Fail,0.018201155,999,999,0,
S96-A59,UCM17 Blood 5,Unknown,1,STAT5B,Test,17.14359446,1,Pass,0.018201155,81.03929149,999,1,
S96-A58,UCM17 Blood 5,Unknown,1,RAC1,Test,15.73932635,0,Fail,0.018201155,999,82.00368659,0,
S96-A57,UCM17 Blood 5,Unknown,1,NFKB1,Test,999,0,Fail,0.018201155,999,999,0,
S96-A56,UCM17 Blood 5,Unknown,1,IRF2,Test,21.72153986,0,Fail,0.018201155,999,87.69149878,0,
S96-A55,UCM17 Blood 5,Unknown,1,IL3,Test,999,0,Fail,0.018201155,999,999,0,
S96-A66,UCM17 Blood 5,Unknown,1,IL10,Test,999,0,Fail,0.018201155,999,999,0,
S96-A65,UCM17 Blood 5,Unknown,1,IFI44,Test,15.09210115,1,Pass,0.018201155,78.84695619,69.80762142,0.940797944,
S96-A64,UCM17 Blood 5,Unknown,1,FYN,Test,14.76692006,1,Pass,0.018201155,77.92920278,999,1,
S96-A63,UCM17 Blood 5,Unknown,1,CD8A,Test,21.94204288,0,Fail,0.018201155,999,91.49609909,0,
S96-A62,UCM17 Blood 5,Unknown,1,CD274,Test,999,0,Fail,0.018201155,999,999,0,
S96-A61,UCM17 Blood 5,Unknown,1,C5,Test,999,0,Fail,0.018201155,999,999,0,
S96-A72,UCM17 Blood 5,Unknown,1,VAV1,Test,999,0,Fail,0.018201155,999,999,0,
S96-A71,UCM17 Blood 5,Unknown,1,TBX21,Test,15.15478284,1,Pass,0.018201155,84.42336973,999,1,
S96-A70,UCM17 Blood 5,Unknown,1,RAC2,Test,14.11913833,1,Pass,0.018201155,81.96644749,999,1,
S96-A69,UCM17 Blood 5,Unknown,1,NLRP3,Test,17.18557763,0,Fail,0.018201155,999,999,0,
S96-A68,UCM17 Blood 5,Unknown,1,IRF4,Test,999,0,Fail,0.018201155,999,999,0,
S96-A67,UCM17 Blood 5,Unknown,1,IL4,Test,999,0,Fail,0.018201155,999,999,0,
S96-A78,UCM17 Blood 5,Unknown,1,IL12RB1,Test,19.94745923,0,Fail,0.018201155,999,999,0,
S96-A77,UCM17 Blood 5,Unknown,1,IFI44L,Test,20.87248115,0,Fail,0.018201155,999,82.78630258,0,
S96-A76,UCM17 Blood 5,Unknown,1,GAPDH,Test,14.15367894,1,Pass,0.018201155,81.94349222,999,1,
S96-A75,UCM17 Blood 5,Unknown,1,CDC42,Test,14.03148877,1,Pass,0.018201155,78.39975672,999,1,
S96-A74,UCM17 Blood 5,Unknown,1,CD28,Test,16.11343772,1,Pass,0.018201155,80.62523941,999,1,
S96-A73,UCM17 Blood 5,Unknown,1,CCR1,Test,17.70393849,1,Pass,0.018201155,82.35913777,999,1,
S96-A84,UCM17 Blood 5,Unknown,1,ZAP70,Test,16.14620902,0,Fail,0.018201155,999,999,0,
S96-A83,UCM17 Blood 5,Unknown,1,TGFBR2,Test,999,0,Fail,0.018201155,999,999,0,
S96-A82,UCM17 Blood 5,Unknown,1,RORC,Test,16.678426,0,Fail,0.018201155,999,999,0,
S96-A81,UCM17 Blood 5,Unknown,1,NR4A1,Test,23.6698276,0,Fail,0.018201155,999,91.30324439,0,
